Tempo (anos)	Energia do Vácuo	Matéria-Antimatéria	Energia Escura
9145728643.216082	0.057150505502343414	1.9081177550425093e-43	7.832239651145166
9216080402.010052	0.05400042288889663	9.442160237115848e-44	7.857625411028631
9286432160.80402	0.05089153612063836	4.672373584270048e-44	7.882715253684472
9356783919.59799	0.0478285678227615	2.312084773267164e-44	7.9075126285664785
9427135678.39196	0.04481638183612961	1.1441157052960745e-44	7.932020944918778
9497487437.18593	0.04185994642109575	5.661560346921922e-45	7.956243572244555
9567839195.9799	0.038964297384838954	2.8015755236524724e-45	7.980183840769297
9638190954.77387	0.036134501299425206	1.3863360864811543e-45	8.003845041898662
9708542713.56784	0.03337561897788006	6.860167532354172e-46	8.027230428670975
9778894472.36181	0.03069266937478946	3.394696209013822e-46	8.050343216204492
9849246231.155779	0.02809059407633587	1.6798368694559203e-46	8.073186582139407
9919597989.949749	0.02557422254223264	8.31253147333378e-47	8.095763667074733
9989949748.74372	0.023148238258759557	4.113386290750052e-47	8.118077575000092
10060301507.53769	0.020817145958030935	2.035474612181486e-47	8.140131373722456
10130653266.33166	0.01858524005378344	1.0072374933889055e-47	8.161928095287925
10201005025.12563	0.016456574438360225	4.9842300268292847e-48	8.183470736398583
10271356783.9196	0.01443493377923165	2.4664043111384325e-48	8.204762258824495
10341708542.713568	0.012523806446357137	1.2204794307762169e-48	8.225805589810914
10412060301.507538	0.010726359193993604	6.03943982023072e-49	8.246603622480714
10482412060.301508	0.009045413712235328	2.9885660030329824e-49	8.267159216232164
10552763819.095478	0.0074834251546610775	1.4788667526027822e-49	8.287475197132041
10623115577.889448	0.006042462739024361	7.318047751779105e-50	8.307554358304165
10693467336.683418	0.004724192507985635	3.6212743847993454e-50	8.327399460313424
10763819095.477388	0.003529862326510126	1.7919571742089255e-50	8.347013231545292
10834170854.271358	0.002460289181788297	8.86734937202712e-51	8.366398368580947
10904522613.065327	0.0015158488404345936	4.387933261870715e-51	8.385557536568012
10974874371.859297	0.0006964679063358493	2.1713318718860036e-51	8.404493369586953
11045226130.653267	1.618310914913712e-06	1.0744653157869493e-51	8.423208471013245
11115577889.447237	-0.0005696857442002434	5.3169012520705215e-52	8.441705413875281
11185929648.241207	-0.0010188883839920629	2.6310238691664665e-52	8.459986741208125
11256281407.035177	-0.0013478902001750163	1.3019400346071857e-52	8.478054966403135
11326633165.829147	-0.0015590439503641272	6.442540767408421e-53	8.49591257355353
11396984924.623116	-0.001655147843881908	3.18803711664368e-53	8.513562017795893
11467336683.417086	-0.0016394364535161493	1.5775733556104246e-53	8.531005725647727
11537688442.211056	-0.0015155693040758995	7.806489075484815e-54	8.548246095341055
11608040201.005026	-0.0012876171998831148	3.862975466017812e-54	8.565285497152141
11678391959.798996	-0.0009600463643271717	1.9115609215310115e-54	8.58212627372737
11748743718.592966	-0.0005377004752445836	9.459198456912079e-55	8.598770740405314
11819095477.386936	-2.5780690112966326e-05	4.680804804043818e-55	8.615221185535068
11889447236.180906	0.0005701762351831355	2.31625689146521e-55	8.63147987079085
11959798994.974874	0.001244321620995862	1.146180242898659e-55	8.647549031482948
12030150753.768845	0.0019905202102407094	5.671776537619608e-56	8.663430876865041
12100502512.562815	0.0028023770565679847	2.8066309197005185e-56	8.67912759043794
12170854271.356785	0.003673265817067145	1.388837706699382e-56	8.694641330249778
12241206030.150755	0.004596358305390549	6.872546589616488e-57	8.70997422919271
12311557788.944725	0.005564655155091578	3.4008218813915535e-57	8.72512839529615
12381909547.738695	0.006571017437616871	1.6828681069147883e-57	8.740105912016594
12452261306.532663	0.007608199074803101	8.327531296970435e-58	8.754908838524063
12522613065.326633	0.008668879881926909	4.12080882732734e-58	8.769539209985203
12592964824.120604	0.009745699074360974	2.0391475919828318e-58	8.783999037843087
12663316582.914574	0.010831289068715912	1.0090550365536472e-58	8.798290310093764
12733668341.708544	0.011918309408006759	4.993223986323668e-59	8.812414991559566
12804020100.502514	0.012999480639880535	2.4708548963545886e-59	8.826375024159246
12874371859.296484	0.0140676179772821	1.2226817654407226e-59	8.840172327174963
12944723618.090454	0.015115664572115849	6.050337888100517e-60	8.85380879751615
13015075376.884422	0.016136724234476266	2.9939588202651093e-60	8.867286309980303
13085427135.678392	0.017124093432860202	1.4815353428562223e-60	8.880606717510746
13155778894.472363	0.018071292414425007	7.331253046218402e-61	8.893771851451378
13226130653.266333	0.018972095288800755	3.627808913695459e-61	8.906783521798447
13296482412.060303	0.019820558924179492	1.7951907308774333e-61	8.919643517449408
13366834170.854273	0.02061105051036515	8.883350355257407e-62	8.932353606448855
13437185929.648243	0.02133827365014436	4.395851213852983e-62	8.944915536231605
13507537688.442211	0.02199729284769772	2.1752500038340957e-62	8.957331033862944
13577889447.236181	0.02258355627077752	1.076404170429766e-62	8.969601806276073
13648241206.030151	0.023092916671991516	5.326495511211724e-63	8.981729540506771
13718592964.824121	0.023521650363710733	2.6357715076142636e-63	8.993715903925354
13788944723.618092	0.023866474150816774	1.3042893635651877e-63	9.0055625444659
13859296482.412062	0.02412456013567353	6.454166224177285e-64	9.017271090852812
13929648241.206032	0.02429354832029873	3.193789876154957e-64	9.028843152824754
14000000000.0	0.024371556941669988	1.580420060273613e-64	9.040280321355949
